envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
148	732000	516000	756000	756000	996000	636000	
149	753000	513000	753000	753000	1113000	633000	
150	774000	510000	750000	750000	1110000	750000	
151	771000	507000	747000	747000	1107000	747000	
152	768000	504000	744000	744000	1104000	744000	
153	765000	501000	741000	741000	1101000	741000	
154	786000	498000	738000	738000	1098000	858000	
155	807000	495000	855000	735000	1095000	855000	
156	828000	492000	972000	732000	1092000	852000	
157	825000	489000	969000	729000	1089000	849000	
158	870000	606000	1086000	726000	1086000	846000	
159	891000	723000	1083000	723000	1083000	843000	
160	888000	720000	1080000	720000	1080000	840000	
161	909000	837000	1077000	717000	1077000	837000	
162	906000	834000	1074000	714000	1074000	834000	
163	927000	831000	1071000	711000	1071000	951000	
164	948000	828000	1068000	828000	1068000	948000	
165	993000	945000	1065000	945000	1065000	945000	
166	990000	942000	1062000	942000	1062000	942000	
167	1035000	939000	1179000	939000	1179000	939000	
168	1056000	936000	1176000	936000	1176000	1056000	
169	1053000	933000	1173000	933000	1173000	1053000	
170	1050000	930000	1170000	930000	1170000	1050000	
171	1095000	927000	1167000	927000	1287000	1167000	
172	1092000	924000	1164000	924000	1284000	1164000	
173	1089000	921000	1161000	921000	1281000	1161000	
174	1110000	918000	1278000	918000	1278000	1158000	
175	1131000	915000	1275000	1035000	1275000	1155000	
176	1176000	912000	1392000	1032000	1272000	1272000	
177	1173000	909000	1389000	1029000	1269000	1269000	
178	1170000	906000	1386000	1026000	1266000	1266000	
179	1191000	903000	1503000	1023000	1263000	1263000	
180	1236000	1020000	1500000	1020000	1380000	1260000	
181	1257000	1137000	1497000	1017000	1377000	1257000	
182	1254000	1134000	1494000	1014000	1374000	1254000	
183	1251000	1131000	1491000	1011000	1371000	1251000	
184	1248000	1128000	1488000	1008000	1368000	1248000	
185	1317000	1245000	1485000	1125000	1365000	1365000	
186	1338000	1362000	1482000	1122000	1362000	1362000	
187	1335000	1359000	1479000	1119000	1359000	1359000	
188	1356000	1356000	1476000	1236000	1356000	1356000	
189	1401000	1473000	1473000	1233000	1473000	1353000	
190	1398000	1470000	1470000	1230000	1470000	1350000	
191	1419000	1467000	1467000	1227000	1467000	1467000	
192	1464000	1464000	1584000	1224000	1584000	1464000	
193	1461000	1461000	1581000	1221000	1581000	1461000	
194	1458000	1458000	1578000	1218000	1578000	1458000	
195	1455000	1455000	1575000	1215000	1575000	1455000	
196	1452000	1452000	1572000	1212000	1572000	1452000	
197	1449000	1449000	1569000	1209000	1569000	1449000	
198	1446000	1446000	1566000	1206000	1566000	1446000	
199	1491000	1563000	1563000	1323000	1563000	1443000	
200	1512000	1560000	1560000	1440000	1560000	1440000	
201	1509000	1557000	1557000	1437000	1557000	1437000	
202	1530000	1554000	1674000	1434000	1554000	1434000	
203	1575000	1551000	1791000	1551000	1551000	1431000	
204	1596000	1668000	1788000	1548000	1548000	1428000	
205	1617000	1665000	1785000	1545000	1545000	1545000	
206	1662000	1782000	1902000	1542000	1542000	1542000	
207	1683000	1779000	1899000	1539000	1659000	1539000	
208	1680000	1776000	1896000	1536000	1656000	1536000	
209	1677000	1773000	1893000	1533000	1653000	1533000	
210	1674000	1770000	1890000	1530000	1650000	1530000	
211	1767000	1887000	2007000	1527000	1767000	1647000	
212	1812000	1884000	2124000	1524000	1884000	1644000	
213	1833000	1881000	2121000	1641000	1881000	1641000	
214	1854000	1878000	2118000	1638000	1878000	1758000	
215	1923000	1995000	2235000	1755000	1875000	1755000	
216	1944000	1992000	2232000	1872000	1872000	1752000	
217	1941000	1989000	2229000	1869000	1869000	1749000	
218	1938000	1986000	2226000	1866000	1866000	1746000	
219	1935000	1983000	2223000	1863000	1863000	1743000	
220	1932000	1980000	2220000	1860000	1860000	1740000	
221	1953000	1977000	2217000	1977000	1857000	1737000	
222	1974000	1974000	2214000	1974000	1854000	1854000	
223	1995000	2091000	2211000	1971000	1851000	1851000	
224	1992000	2088000	2208000	1968000	1848000	1848000	
225	1989000	2085000	2205000	1965000	1845000	1845000	
226	2010000	2082000	2202000	1962000	1962000	1842000	
227	2007000	2079000	2199000	1959000	1959000	1839000	
228	2028000	2076000	2196000	1956000	2076000	1836000	
229	2025000	2073000	2193000	1953000	2073000	1833000	
230	2022000	2070000	2190000	1950000	2070000	1830000	
231	2043000	2187000	2187000	1947000	2067000	1827000	
232	2064000	2184000	2184000	2064000	2064000	1824000	
233	2109000	2181000	2301000	2061000	2181000	1821000	
234	2106000	2178000	2298000	2058000	2178000	1818000	
235	2103000	2175000	2295000	2055000	2175000	1815000	
236	2148000	2172000	2292000	2172000	2172000	1932000	
237	2217000	2289000	2289000	2169000	2289000	2049000	
238	2214000	2286000	2286000	2166000	2286000	2046000	
239	2211000	2283000	2283000	2163000	2283000	2043000	
240	2208000	2280000	2280000	2160000	2280000	2040000	
241	2205000	2277000	2277000	2157000	2277000	2037000	
242	2202000	2274000	2274000	2154000	2274000	2034000	
243	2223000	2271000	2271000	2151000	2271000	2151000	
244	2244000	2268000	2388000	2148000	2268000	2148000	
245	2289000	2385000	2385000	2145000	2385000	2145000	
246	2310000	2502000	2382000	2142000	2382000	2142000	
247	2307000	2499000	2379000	2139000	2379000	2139000	
248	2304000	2496000	2376000	2136000	2376000	2136000	
249	2325000	2493000	2373000	2133000	2373000	2253000	
250	2322000	2490000	2370000	2130000	2370000	2250000	
251	2343000	2487000	2367000	2127000	2367000	2367000	
252	2364000	2484000	2364000	2244000	2364000	2364000	
253	2361000	2481000	2361000	2241000	2361000	2361000	
254	2406000	2598000	2358000	2238000	2358000	2478000	
255	2427000	2715000	2355000	2235000	2355000	2475000	
256	2472000	2712000	2352000	2352000	2472000	2472000	
257	2493000	2829000	2349000	2349000	2469000	2469000	
258	2490000	2826000	2346000	2346000	2466000	2466000	
259	2559000	2943000	2343000	2463000	2463000	2583000	
260	2580000	2940000	2340000	2460000	2580000	2580000	
261	2577000	2937000	2337000	2457000	2577000	2577000	
262	2598000	2934000	2334000	2454000	2574000	2694000	
263	2595000	2931000	2331000	2451000	2571000	2691000	
264	2592000	2928000	2328000	2448000	2568000	2688000	
265	2589000	2925000	2325000	2445000	2565000	2685000	
266	2610000	3042000	2322000	2442000	2562000	2682000	
267	2631000	3039000	2319000	2559000	2559000	2679000	
268	2676000	3036000	2436000	2676000	2556000	2676000	
269	2697000	3033000	2433000	2673000	2673000	2673000	
270	2694000	3030000	2430000	2670000	2670000	2670000	
271	2691000	3027000	2427000	2667000	2667000	2667000	
272	2736000	3024000	2424000	2664000	2784000	2784000	
273	2757000	3021000	2421000	2781000	2781000	2781000	
274	2778000	3018000	2418000	2898000	2778000	2778000	
275	2775000	3015000	2415000	2895000	2775000	2775000	
276	2796000	3012000	2412000	3012000	2772000	2772000	
277	2841000	3129000	2409000	3009000	2769000	2889000	
278	2838000	3126000	2406000	3006000	2766000	2886000	
279	2835000	3123000	2403000	3003000	2763000	2883000	
280	2856000	3120000	2400000	3120000	2760000	2880000	
281	2877000	3237000	2397000	3117000	2757000	2877000	
282	2946000	3234000	2514000	3234000	2874000	2874000	
283	2991000	3351000	2511000	3231000	2871000	2991000	
284	2988000	3348000	2508000	3228000	2868000	2988000	
285	2985000	3345000	2505000	3225000	2865000	2985000	
286	3006000	3342000	2502000	3222000	2982000	2982000	
287	3051000	3339000	2619000	3339000	2979000	2979000	
288	3072000	3336000	2616000	3336000	2976000	3096000	
289	3117000	3453000	2613000	3333000	2973000	3213000	
290	3114000	3450000	2610000	3330000	2970000	3210000	
291	3111000	3447000	2607000	3327000	2967000	3207000	
292	3108000	3444000	2604000	3324000	2964000	3204000	
293	3105000	3441000	2601000	3321000	2961000	3201000	
294	3174000	3438000	2718000	3438000	2958000	3318000	
295	3195000	3435000	2715000	3555000	2955000	3315000	
296	3192000	3432000	2712000	3552000	2952000	3312000	
297	3213000	3549000	2709000	3549000	2949000	3309000	
298	3234000	3666000	2706000	3546000	2946000	3306000	
299	3279000	3663000	2823000	3543000	3063000	3303000	
300	3300000	3660000	2820000	3660000	3060000	3300000	
301	3297000	3657000	2817000	3657000	3057000	3297000	
302	3294000	3654000	2814000	3654000	3054000	3294000	
303	3339000	3651000	2931000	3651000	3171000	3291000	
304	3336000	3648000	2928000	3648000	3168000	3288000	
305	3333000	3645000	2925000	3645000	3165000	3285000	
306	3354000	3642000	2922000	3762000	3162000	3282000	
307	3351000	3639000	2919000	3759000	3159000	3279000	
308	3348000	3636000	2916000	3756000	3156000	3276000	
309	3369000	3633000	2913000	3753000	3273000	3273000	
310	3390000	3630000	2910000	3750000	3390000	3270000	
311	3435000	3627000	3027000	3867000	3387000	3267000	
312	3432000	3624000	3024000	3864000	3384000	3264000	
313	3477000	3741000	3021000	3861000	3381000	3381000	
314	3474000	3738000	3018000	3858000	3378000	3378000	
315	3495000	3735000	3135000	3855000	3375000	3375000	
316	3492000	3732000	3132000	3852000	3372000	3372000	
317	3537000	3849000	3129000	3849000	3489000	3369000	
318	3558000	3846000	3246000	3846000	3486000	3366000	
319	3603000	3843000	3363000	3843000	3483000	3483000	
320	3600000	3840000	3360000	3840000	3480000	3480000	
321	3597000	3837000	3357000	3837000	3477000	3477000	
322	3594000	3834000	3354000	3834000	3474000	3474000	
323	3663000	3951000	3351000	3951000	3471000	3591000	
324	3660000	3948000	3348000	3948000	3468000	3588000	
325	3681000	3945000	3345000	4065000	3465000	3585000	
326	3678000	3942000	3342000	4062000	3462000	3582000	
327	3675000	3939000	3339000	4059000	3459000	3579000	
328	3744000	4056000	3336000	4056000	3576000	3696000	
329	3765000	4053000	3333000	4053000	3693000	3693000	
330	3786000	4050000	3330000	4050000	3810000	3690000	
331	3783000	4047000	3327000	4047000	3807000	3687000	
332	3780000	4044000	3324000	4044000	3804000	3684000	
333	3801000	4041000	3321000	4161000	3801000	3681000	
334	3798000	4038000	3318000	4158000	3798000	3678000	
335	3795000	4035000	3315000	4155000	3795000	3675000	
336	3816000	4032000	3312000	4272000	3792000	3672000	
337	3837000	4029000	3309000	4389000	3789000	3669000	
338	3834000	4026000	3306000	4386000	3786000	3666000	
339	3879000	4143000	3303000	4383000	3783000	3783000	
340	3900000	4140000	3300000	4500000	3780000	3780000	
341	3897000	4137000	3297000	4497000	3777000	3777000	
342	3918000	4134000	3294000	4494000	3774000	3894000	
343	3939000	4131000	3291000	4491000	3771000	4011000	
344	3936000	4128000	3288000	4488000	3768000	4008000	
345	3957000	4125000	3405000	4485000	3765000	4005000	
346	3954000	4122000	3402000	4482000	3762000	4002000	
347	3975000	4119000	3519000	4479000	3759000	3999000	
348	3972000	4116000	3516000	4476000	3756000	3996000	
349	3993000	4113000	3633000	4473000	3753000	3993000	
350	4062000	4110000	3750000	4470000	3870000	4110000	
351	4083000	4107000	3747000	4467000	3987000	4107000	
352	4080000	4104000	3744000	4464000	3984000	4104000	
353	4101000	4101000	3741000	4461000	4101000	4101000	
354	4122000	4098000	3738000	4458000	4218000	4098000	
355	4167000	4095000	3735000	4575000	4215000	4215000	
356	4188000	4092000	3732000	4572000	4332000	4212000	
357	4209000	4209000	3729000	4569000	4329000	4209000	
358	4254000	4206000	3726000	4566000	4446000	4326000	
359	4275000	4203000	3843000	4563000	4443000	4323000	
360	4272000	4200000	3840000	4560000	4440000	4320000	
361	4269000	4197000	3837000	4557000	4437000	4317000	
362	4290000	4194000	3954000	4554000	4434000	4314000	
363	4287000	4191000	3951000	4551000	4431000	4311000	
364	4284000	4188000	3948000	4548000	4428000	4308000	
365	4305000	4185000	3945000	4545000	4545000	4305000	
366	4302000	4182000	3942000	4542000	4542000	4302000	
367	4299000	4179000	3939000	4539000	4539000	4299000	
368	4296000	4176000	3936000	4536000	4536000	4296000	
369	4317000	4173000	3933000	4533000	4533000	4413000	
370	4338000	4290000	3930000	4530000	4530000	4410000	
371	4335000	4287000	3927000	4527000	4527000	4407000	
372	4332000	4284000	3924000	4524000	4524000	4404000	
373	4353000	4281000	3921000	4521000	4521000	4521000	
374	4374000	4278000	3918000	4638000	4518000	4518000	
375	4371000	4275000	3915000	4635000	4515000	4515000	
376	4392000	4272000	3912000	4632000	4632000	4512000	
377	4437000	4269000	4029000	4629000	4629000	4629000	
378	4434000	4266000	4026000	4626000	4626000	4626000	
379	4431000	4263000	4023000	4623000	4623000	4623000	
380	4428000	4260000	4020000	4620000	4620000	4620000	
381	4425000	4257000	4017000	4617000	4617000	4617000	
382	4446000	4254000	4134000	4614000	4614000	4614000	
383	4515000	4371000	4131000	4611000	4731000	4731000	
384	4560000	4368000	4248000	4608000	4848000	4728000	
385	4581000	4485000	4245000	4605000	4845000	4725000	
386	4602000	4482000	4242000	4602000	4842000	4842000	
387	4599000	4479000	4239000	4599000	4839000	4839000	
388	4596000	4476000	4236000	4596000	4836000	4836000	
389	4593000	4473000	4233000	4593000	4833000	4833000	
390	4638000	4470000	4230000	4590000	4950000	4950000	
391	4683000	4467000	4347000	4587000	5067000	4947000	
392	4680000	4464000	4344000	4584000	5064000	4944000	
393	4701000	4581000	4341000	4581000	5061000	4941000	
394	4698000	4578000	4338000	4578000	5058000	4938000	
395	4695000	4575000	4335000	4575000	5055000	4935000	
396	4716000	4572000	4452000	4572000	5052000	4932000	
397	4713000	4569000	4449000	4569000	5049000	4929000	
398	4710000	4566000	4446000	4566000	5046000	4926000	
399	4731000	4563000	4563000	4563000	5043000	4923000	
400	4776000	4680000	4560000	4560000	5040000	5040000	
401	4773000	4677000	4557000	4557000	5037000	5037000	
402	4770000	4674000	4554000	4554000	5034000	5034000	
403	4791000	4671000	4551000	4551000	5031000	5151000	
404	4788000	4668000	4548000	4548000	5028000	5148000	
405	4809000	4665000	4545000	4545000	5145000	5145000	
406	4830000	4662000	4662000	4542000	5142000	5142000	
407	4851000	4659000	4659000	4539000	5259000	5139000	
408	4896000	4656000	4656000	4536000	5376000	5256000	
409	4893000	4653000	4653000	4533000	5373000	5253000	
410	4914000	4650000	4770000	4530000	5370000	5250000	
411	4911000	4647000	4767000	4527000	5367000	5247000	
412	4908000	4644000	4764000	4524000	5364000	5244000	
413	4905000	4641000	4761000	4521000	5361000	5241000	
414	4926000	4638000	4758000	4518000	5358000	5358000	
415	4923000	4635000	4755000	4515000	5355000	5355000	
416	4920000	4632000	4752000	4512000	5352000	5352000	
417	4917000	4629000	4749000	4509000	5349000	5349000	
418	4914000	4626000	4746000	4506000	5346000	5346000	
419	4911000	4623000	4743000	4503000	5343000	5343000	
420	4932000	4620000	4860000	4500000	5340000	5340000	
421	4953000	4737000	4857000	4497000	5337000	5337000	
422	4950000	4734000	4854000	4494000	5334000	5334000	
423	4947000	4731000	4851000	4491000	5331000	5331000	
424	4944000	4728000	4848000	4488000	5328000	5328000	
425	4989000	4845000	4965000	4485000	5325000	5325000	
426	4986000	4842000	4962000	4482000	5322000	5322000	
427	4983000	4839000	4959000	4479000	5319000	5319000	
428	5004000	4836000	4956000	4596000	5316000	5316000	
429	5001000	4833000	4953000	4593000	5313000	5313000	
430	5022000	4830000	4950000	4710000	5310000	5310000	
431	5043000	4827000	4947000	4707000	5427000	5307000	
432	5040000	4824000	4944000	4704000	5424000	5304000	
433	5085000	4821000	5061000	4821000	5421000	5301000	
434	5130000	4938000	5058000	4938000	5418000	5298000	
435	5151000	4935000	5055000	4935000	5535000	5295000	
436	5148000	4932000	5052000	4932000	5532000	5292000	
437	5169000	4929000	5169000	4929000	5529000	5289000	
438	5190000	5046000	5166000	4926000	5526000	5286000	
439	5187000	5043000	5163000	4923000	5523000	5283000	
440	5208000	5160000	5160000	4920000	5520000	5280000	
441	5205000	5157000	5157000	4917000	5517000	5277000	
442	5202000	5154000	5154000	4914000	5514000	5274000	
443	5223000	5151000	5151000	4911000	5511000	5391000	
444	5220000	5148000	5148000	4908000	5508000	5388000	
445	5265000	5265000	5145000	5025000	5505000	5385000	
446	5262000	5262000	5142000	5022000	5502000	5382000	
447	5283000	5259000	5139000	5019000	5499000	5499000	
448	5280000	5256000	5136000	5016000	5496000	5496000	
449	5277000	5253000	5133000	5013000	5493000	5493000	
450	5274000	5250000	5130000	5010000	5490000	5490000	
451	5271000	5247000	5127000	5007000	5487000	5487000	
452	5292000	5244000	5124000	5124000	5484000	5484000	
453	5361000	5361000	5121000	5241000	5481000	5601000	
454	5382000	5358000	5238000	5238000	5478000	5598000	
455	5379000	5355000	5235000	5235000	5475000	5595000	
456	5400000	5352000	5232000	5232000	5592000	5592000	
457	5421000	5469000	5229000	5229000	5589000	5589000	
458	5418000	5466000	5226000	5226000	5586000	5586000	
459	5415000	5463000	5223000	5223000	5583000	5583000	
460	5436000	5580000	5220000	5220000	5580000	5580000	
461	5481000	5577000	5217000	5337000	5577000	5697000	
462	5502000	5574000	5214000	5454000	5574000	5694000	
463	5499000	5571000	5211000	5451000	5571000	5691000	
464	5496000	5568000	5208000	5448000	5568000	5688000	
465	5493000	5565000	5205000	5445000	5565000	5685000	
466	5514000	5562000	5202000	5442000	5682000	5682000	
467	5535000	5559000	5319000	5439000	5679000	5679000	
468	5556000	5556000	5316000	5556000	5676000	5676000	
469	5577000	5553000	5433000	5553000	5673000	5673000	
