envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
141	1329000	1377000	1497000	1377000	1257000	1137000	
142	1326000	1374000	1494000	1374000	1254000	1134000	
143	1347000	1491000	1491000	1371000	1251000	1131000	
144	1392000	1488000	1488000	1488000	1248000	1248000	
145	1437000	1485000	1485000	1605000	1365000	1245000	
146	1482000	1602000	1482000	1602000	1482000	1242000	
147	1479000	1599000	1479000	1599000	1479000	1239000	
148	1476000	1596000	1476000	1596000	1476000	1236000	
149	1497000	1593000	1473000	1593000	1593000	1233000	
150	1494000	1590000	1470000	1590000	1590000	1230000	
151	1491000	1587000	1467000	1587000	1587000	1227000	
152	1488000	1584000	1464000	1584000	1584000	1224000	
153	1485000	1581000	1461000	1581000	1581000	1221000	
154	1482000	1578000	1458000	1578000	1578000	1218000	
155	1479000	1575000	1455000	1575000	1575000	1215000	
156	1500000	1572000	1452000	1572000	1572000	1332000	
157	1521000	1569000	1449000	1689000	1569000	1329000	
158	1590000	1566000	1446000	1806000	1686000	1446000	
159	1587000	1563000	1443000	1803000	1683000	1443000	
160	1584000	1560000	1440000	1800000	1680000	1440000	
161	1605000	1557000	1557000	1797000	1677000	1437000	
162	1602000	1554000	1554000	1794000	1674000	1434000	
163	1647000	1551000	1671000	1791000	1671000	1551000	
164	1644000	1548000	1668000	1788000	1668000	1548000	
165	1689000	1545000	1665000	1905000	1665000	1665000	
166	1710000	1542000	1782000	1902000	1662000	1662000	
167	1707000	1539000	1779000	1899000	1659000	1659000	
168	1728000	1536000	1776000	1896000	1656000	1776000	
169	1749000	1533000	1773000	1893000	1653000	1893000	
170	1746000	1530000	1770000	1890000	1650000	1890000	
171	1743000	1527000	1767000	1887000	1647000	1887000	
172	1740000	1524000	1764000	1884000	1644000	1884000	
173	1761000	1521000	1881000	1881000	1641000	1881000	
174	1758000	1518000	1878000	1878000	1638000	1878000	
175	1779000	1515000	1875000	1875000	1635000	1995000	
176	1824000	1512000	1992000	1992000	1632000	1992000	
177	1821000	1509000	1989000	1989000	1629000	1989000	
178	1842000	1506000	2106000	1986000	1626000	1986000	
179	1839000	1503000	2103000	1983000	1623000	1983000	
180	1836000	1500000	2100000	1980000	1620000	1980000	
181	1833000	1497000	2097000	1977000	1617000	1977000	
182	1830000	1494000	2094000	1974000	1614000	1974000	
183	1875000	1611000	2091000	1971000	1611000	2091000	
184	1872000	1608000	2088000	1968000	1608000	2088000	
185	1893000	1605000	2085000	1965000	1725000	2085000	
186	1890000	1602000	2082000	1962000	1722000	2082000	
187	1887000	1599000	2079000	1959000	1719000	2079000	
188	1884000	1596000	2076000	1956000	1716000	2076000	
189	1905000	1593000	2073000	1953000	1833000	2073000	
190	1926000	1590000	2070000	1950000	1950000	2070000	
191	1923000	1587000	2067000	1947000	1947000	2067000	
192	1920000	1584000	2064000	1944000	1944000	2064000	
193	1941000	1701000	2061000	1941000	1941000	2061000	
194	1938000	1698000	2058000	1938000	1938000	2058000	
195	1983000	1695000	2055000	2055000	2055000	2055000	
196	1980000	1692000	2052000	2052000	2052000	2052000	
197	2001000	1809000	2049000	2049000	2049000	2049000	
198	2046000	1926000	2046000	2046000	2166000	2046000	
199	2043000	1923000	2043000	2043000	2163000	2043000	
200	2040000	1920000	2040000	2040000	2160000	2040000	
201	2037000	1917000	2037000	2037000	2157000	2037000	
202	2082000	2034000	2154000	2034000	2154000	2034000	
203	2079000	2031000	2151000	2031000	2151000	2031000	
204	2100000	2148000	2148000	2028000	2148000	2028000	
205	2097000	2145000	2145000	2025000	2145000	2025000	
206	2094000	2142000	2142000	2022000	2142000	2022000	
207	2091000	2139000	2139000	2019000	2139000	2019000	
208	2112000	2136000	2136000	2016000	2136000	2136000	
209	2133000	2133000	2133000	2013000	2133000	2253000	
210	2130000	2130000	2130000	2010000	2130000	2250000	
211	2127000	2127000	2127000	2007000	2127000	2247000	
212	2124000	2124000	2124000	2004000	2124000	2244000	
213	2121000	2121000	2121000	2001000	2121000	2241000	
214	2142000	2118000	2238000	1998000	2118000	2238000	
215	2163000	2115000	2355000	1995000	2115000	2235000	
216	2160000	2112000	2352000	1992000	2112000	2232000	
217	2181000	2109000	2349000	1989000	2229000	2229000	
218	2178000	2106000	2346000	1986000	2226000	2226000	
219	2175000	2103000	2343000	1983000	2223000	2223000	
220	2172000	2100000	2340000	1980000	2220000	2220000	
221	2169000	2097000	2337000	1977000	2217000	2217000	
222	2190000	2094000	2334000	1974000	2334000	2214000	
223	2187000	2091000	2331000	1971000	2331000	2211000	
224	2208000	2088000	2328000	1968000	2448000	2208000	
225	2229000	2085000	2445000	1965000	2445000	2205000	
226	2226000	2082000	2442000	1962000	2442000	2202000	
227	2295000	2079000	2559000	2079000	2559000	2199000	
228	2292000	2076000	2556000	2076000	2556000	2196000	
229	2289000	2073000	2553000	2073000	2553000	2193000	
230	2310000	2190000	2550000	2070000	2550000	2190000	
231	2331000	2187000	2547000	2187000	2547000	2187000	
232	2328000	2184000	2544000	2184000	2544000	2184000	
233	2325000	2181000	2541000	2181000	2541000	2181000	
234	2346000	2178000	2538000	2298000	2538000	2178000	
235	2391000	2295000	2535000	2415000	2535000	2175000	
236	2388000	2292000	2532000	2412000	2532000	2172000	
237	2409000	2409000	2529000	2409000	2529000	2169000	
238	2430000	2406000	2526000	2526000	2526000	2166000	
239	2427000	2403000	2523000	2523000	2523000	2163000	
240	2424000	2400000	2520000	2520000	2520000	2160000	
241	2493000	2517000	2517000	2517000	2637000	2277000	
242	2514000	2514000	2514000	2514000	2634000	2394000	
243	2511000	2511000	2511000	2511000	2631000	2391000	
244	2508000	2508000	2508000	2508000	2628000	2388000	
245	2505000	2505000	2505000	2505000	2625000	2385000	
246	2550000	2622000	2502000	2622000	2622000	2382000	
247	2571000	2619000	2499000	2739000	2619000	2379000	
248	2568000	2616000	2496000	2736000	2616000	2376000	
249	2565000	2613000	2493000	2733000	2613000	2373000	
