envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
136	1248000	1392000	1272000	1272000	1032000	1272000	
137	1269000	1389000	1269000	1269000	1149000	1269000	
138	1314000	1506000	1266000	1266000	1146000	1386000	
139	1311000	1503000	1263000	1263000	1143000	1383000	
140	1308000	1500000	1260000	1260000	1140000	1380000	
141	1305000	1497000	1257000	1257000	1137000	1377000	
142	1350000	1494000	1254000	1374000	1134000	1494000	
143	1347000	1491000	1251000	1371000	1131000	1491000	
144	1344000	1488000	1248000	1368000	1128000	1488000	
145	1365000	1485000	1245000	1365000	1245000	1485000	
146	1386000	1482000	1362000	1362000	1242000	1482000	
147	1383000	1479000	1359000	1359000	1239000	1479000	
148	1380000	1476000	1356000	1356000	1236000	1476000	
149	1377000	1473000	1353000	1353000	1233000	1473000	
150	1374000	1470000	1350000	1350000	1230000	1470000	
151	1371000	1467000	1347000	1347000	1227000	1467000	
152	1392000	1464000	1344000	1344000	1224000	1584000	
153	1413000	1461000	1341000	1341000	1221000	1701000	
154	1434000	1458000	1338000	1458000	1218000	1698000	
155	1455000	1455000	1335000	1455000	1335000	1695000	
156	1452000	1452000	1332000	1452000	1332000	1692000	
157	1473000	1449000	1329000	1449000	1449000	1689000	
158	1470000	1446000	1326000	1446000	1446000	1686000	
159	1467000	1443000	1323000	1443000	1443000	1683000	
160	1488000	1440000	1320000	1440000	1560000	1680000	
161	1485000	1437000	1317000	1437000	1557000	1677000	
162	1482000	1434000	1314000	1434000	1554000	1674000	
163	1479000	1431000	1311000	1431000	1551000	1671000	
164	1476000	1428000	1308000	1428000	1548000	1668000	
165	1545000	1545000	1305000	1545000	1665000	1665000	
166	1542000	1542000	1302000	1542000	1662000	1662000	
167	1563000	1539000	1419000	1539000	1659000	1659000	
168	1584000	1536000	1416000	1536000	1656000	1776000	
169	1581000	1533000	1413000	1533000	1653000	1773000	
170	1602000	1530000	1530000	1530000	1650000	1770000	
171	1623000	1527000	1527000	1647000	1647000	1767000	
172	1620000	1524000	1524000	1644000	1644000	1764000	
173	1617000	1521000	1521000	1641000	1641000	1761000	
174	1638000	1638000	1518000	1638000	1638000	1758000	
175	1659000	1635000	1635000	1635000	1635000	1755000	
176	1680000	1632000	1752000	1632000	1632000	1752000	
177	1701000	1629000	1749000	1629000	1629000	1869000	
178	1722000	1626000	1746000	1626000	1626000	1986000	
179	1719000	1623000	1743000	1623000	1623000	1983000	
180	1716000	1620000	1740000	1620000	1620000	1980000	
181	1713000	1617000	1737000	1617000	1617000	1977000	
182	1734000	1734000	1734000	1614000	1614000	1974000	
183	1731000	1731000	1731000	1611000	1611000	1971000	
184	1728000	1728000	1728000	1608000	1608000	1968000	
185	1725000	1725000	1725000	1605000	1605000	1965000	
186	1746000	1722000	1722000	1602000	1602000	2082000	
187	1767000	1719000	1719000	1599000	1599000	2199000	
188	1788000	1836000	1716000	1596000	1596000	2196000	
189	1809000	1833000	1713000	1713000	1593000	2193000	
190	1806000	1830000	1710000	1710000	1590000	2190000	
191	1803000	1827000	1707000	1707000	1587000	2187000	
192	1848000	1824000	1704000	1824000	1584000	2304000	
193	1869000	1821000	1821000	1821000	1581000	2301000	
194	1866000	1818000	1818000	1818000	1578000	2298000	
195	1863000	1815000	1815000	1815000	1575000	2295000	
196	1860000	1812000	1812000	1812000	1572000	2292000	
197	1857000	1809000	1809000	1809000	1569000	2289000	
198	1878000	1926000	1806000	1806000	1566000	2286000	
199	1899000	1923000	1803000	1923000	1563000	2283000	
200	1896000	1920000	1800000	1920000	1560000	2280000	
201	1893000	1917000	1797000	1917000	1557000	2277000	
202	1890000	1914000	1794000	1914000	1554000	2274000	
203	1911000	1911000	1791000	1911000	1671000	2271000	
204	1932000	1908000	1788000	1908000	1788000	2268000	
205	1929000	1905000	1785000	1905000	1785000	2265000	
206	1950000	1902000	1782000	1902000	1902000	2262000	
207	1971000	1899000	1779000	2019000	1899000	2259000	
208	1968000	1896000	1776000	2016000	1896000	2256000	
209	1965000	1893000	1773000	2013000	1893000	2253000	
210	1962000	1890000	1770000	2010000	1890000	2250000	
211	1983000	1887000	1767000	2007000	2007000	2247000	
212	2004000	2004000	1764000	2004000	2004000	2244000	
213	2001000	2001000	1761000	2001000	2001000	2241000	
214	1998000	1998000	1758000	1998000	1998000	2238000	
215	1995000	1995000	1755000	1995000	1995000	2235000	
216	1992000	1992000	1752000	1992000	1992000	2232000	
217	1989000	1989000	1749000	1989000	1989000	2229000	
218	2010000	2106000	1746000	1986000	1986000	2226000	
219	2031000	2223000	1743000	1983000	1983000	2223000	
220	2052000	2220000	1740000	1980000	2100000	2220000	
221	2049000	2217000	1737000	1977000	2097000	2217000	
222	2046000	2214000	1734000	1974000	2094000	2214000	
223	2043000	2211000	1731000	1971000	2091000	2211000	
224	2112000	2208000	1848000	2088000	2208000	2208000	
225	2109000	2205000	1845000	2085000	2205000	2205000	
226	2106000	2202000	1842000	2082000	2202000	2202000	
227	2151000	2199000	1959000	2199000	2199000	2199000	
228	2172000	2196000	1956000	2316000	2196000	2196000	
229	2193000	2193000	1953000	2433000	2193000	2193000	
230	2238000	2190000	2070000	2430000	2190000	2310000	
231	2259000	2187000	2067000	2427000	2307000	2307000	
232	2256000	2184000	2064000	2424000	2304000	2304000	
233	2277000	2181000	2061000	2421000	2301000	2421000	
234	2274000	2178000	2058000	2418000	2298000	2418000	
235	2295000	2175000	2175000	2415000	2295000	2415000	
236	2292000	2172000	2172000	2412000	2292000	2412000	
237	2289000	2169000	2169000	2409000	2289000	2409000	
238	2286000	2166000	2166000	2406000	2286000	2406000	
239	2283000	2163000	2163000	2403000	2283000	2403000	
240	2280000	2160000	2160000	2400000	2280000	2400000	
241	2301000	2157000	2157000	2517000	2277000	2397000	
242	2298000	2154000	2154000	2514000	2274000	2394000	
243	2319000	2151000	2151000	2511000	2391000	2391000	
244	2316000	2148000	2148000	2508000	2388000	2388000	
245	2313000	2145000	2145000	2505000	2385000	2385000	
246	2358000	2142000	2262000	2502000	2502000	2382000	
247	2379000	2259000	2259000	2499000	2499000	2379000	
248	2376000	2256000	2256000	2496000	2496000	2376000	
249	2421000	2253000	2253000	2613000	2613000	2373000	
250	2418000	2250000	2250000	2610000	2610000	2370000	
251	2415000	2247000	2247000	2607000	2607000	2367000	
252	2412000	2244000	2244000	2604000	2604000	2364000	
253	2409000	2241000	2241000	2601000	2601000	2361000	
254	2454000	2238000	2238000	2718000	2718000	2358000	
255	2451000	2235000	2235000	2715000	2715000	2355000	
256	2448000	2232000	2232000	2712000	2712000	2352000	
257	2517000	2349000	2349000	2829000	2709000	2349000	
258	2538000	2346000	2346000	2946000	2706000	2346000	
259	2583000	2343000	2343000	3063000	2823000	2343000	
260	2580000	2340000	2340000	3060000	2820000	2340000	
261	2577000	2337000	2337000	3057000	2817000	2337000	
262	2574000	2334000	2334000	3054000	2814000	2334000	
