envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
136	1320000	1512000	1392000	1272000	1272000	1152000	
137	1365000	1629000	1389000	1269000	1269000	1269000	
138	1410000	1626000	1506000	1266000	1386000	1266000	
139	1407000	1623000	1503000	1263000	1383000	1263000	
140	1428000	1620000	1500000	1380000	1380000	1260000	
141	1425000	1617000	1497000	1377000	1377000	1257000	
142	1422000	1614000	1494000	1374000	1374000	1254000	
143	1419000	1611000	1491000	1371000	1371000	1251000	
144	1416000	1608000	1488000	1368000	1368000	1248000	
145	1413000	1605000	1485000	1365000	1365000	1245000	
146	1410000	1602000	1482000	1362000	1362000	1242000	
147	1407000	1599000	1479000	1359000	1359000	1239000	
148	1428000	1596000	1476000	1356000	1356000	1356000	
149	1449000	1593000	1473000	1353000	1473000	1353000	
150	1446000	1590000	1470000	1350000	1470000	1350000	
151	1443000	1587000	1467000	1347000	1467000	1347000	
152	1440000	1584000	1464000	1344000	1464000	1344000	
153	1437000	1581000	1461000	1341000	1461000	1341000	
154	1458000	1578000	1578000	1338000	1458000	1338000	
155	1479000	1695000	1575000	1335000	1455000	1335000	
156	1476000	1692000	1572000	1332000	1452000	1332000	
157	1473000	1689000	1569000	1329000	1449000	1329000	
158	1494000	1686000	1566000	1326000	1566000	1326000	
159	1491000	1683000	1563000	1323000	1563000	1323000	
160	1512000	1680000	1560000	1320000	1560000	1440000	
161	1509000	1677000	1557000	1317000	1557000	1437000	
162	1506000	1674000	1554000	1314000	1554000	1434000	
163	1527000	1791000	1551000	1311000	1551000	1431000	
164	1524000	1788000	1548000	1308000	1548000	1428000	
165	1545000	1785000	1545000	1305000	1545000	1545000	
166	1566000	1782000	1542000	1302000	1662000	1542000	
167	1587000	1779000	1539000	1299000	1659000	1659000	
168	1608000	1776000	1536000	1416000	1656000	1656000	
169	1629000	1773000	1533000	1413000	1653000	1773000	
170	1650000	1770000	1530000	1530000	1650000	1770000	
171	1671000	1767000	1527000	1527000	1767000	1767000	
172	1692000	1764000	1524000	1644000	1764000	1764000	
173	1689000	1761000	1521000	1641000	1761000	1761000	
174	1710000	1758000	1518000	1758000	1758000	1758000	
175	1707000	1755000	1515000	1755000	1755000	1755000	
176	1704000	1752000	1512000	1752000	1752000	1752000	
177	1725000	1749000	1629000	1749000	1749000	1749000	
178	1722000	1746000	1626000	1746000	1746000	1746000	
179	1743000	1863000	1623000	1743000	1743000	1743000	
180	1764000	1980000	1620000	1740000	1740000	1740000	
181	1761000	1977000	1617000	1737000	1737000	1737000	
182	1758000	1974000	1614000	1734000	1734000	1734000	
183	1755000	1971000	1611000	1731000	1731000	1731000	
