fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 200551	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	389	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0378788405271447	0.669603702849483	652	295	11636	58874368.8155922	23
20240512 201454	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0567496959237128	0.730081103859299	551	785	12405	58039752.6236882	24
20240512 204043	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1986	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0308907506130426	0.500277572821939	1110	1998	13288	57541217.3913044	25
20240512 210308	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2248	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0101149433484043	0.65266480085489	213	1601	13402	60268662.6686657	26
20240512 213802	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9420	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100185665040541	0.766819507094661	11	1885	12060	58794092.9535232	27
20240512 222829	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4331	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100283340765171	0.59767082065496	577	1413	12143	58601644.6776612	28
20240512 225415	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	684	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0115431411099665	0.633330687971153	2036	198	13410	59623613.1934033	29
20240512 231633	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	650	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100014338773569	0.69843495122279	1069	102	12511	58960673.1634183	30
20240512 234530	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8682	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0171724543127549	0.659061480959607	9	1996	12753	58501599.7001499	31
20240512 234852	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100142779739732	0.61590191516291	8	498	14272	50511076.4617691	32
