envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
141	1473000	1377000	1497000	1377000	1737000	1377000	
142	1470000	1374000	1494000	1374000	1734000	1374000	
143	1491000	1371000	1491000	1371000	1731000	1491000	
144	1512000	1368000	1488000	1368000	1728000	1608000	
145	1557000	1485000	1605000	1365000	1725000	1605000	
146	1578000	1602000	1602000	1362000	1722000	1602000	
147	1575000	1599000	1599000	1359000	1719000	1599000	
148	1596000	1596000	1596000	1356000	1836000	1596000	
149	1665000	1713000	1713000	1473000	1833000	1593000	
150	1662000	1710000	1710000	1470000	1830000	1590000	
151	1683000	1707000	1707000	1467000	1827000	1707000	
152	1680000	1704000	1704000	1464000	1824000	1704000	
153	1701000	1701000	1701000	1581000	1821000	1701000	
154	1698000	1698000	1698000	1578000	1818000	1698000	
155	1695000	1695000	1695000	1575000	1815000	1695000	
156	1692000	1692000	1692000	1572000	1812000	1692000	
157	1713000	1809000	1689000	1569000	1809000	1689000	
158	1734000	1806000	1686000	1566000	1806000	1806000	
159	1731000	1803000	1683000	1563000	1803000	1803000	
160	1752000	1800000	1680000	1560000	1800000	1920000	
161	1749000	1797000	1677000	1557000	1797000	1917000	
162	1746000	1794000	1674000	1554000	1794000	1914000	
163	1767000	1791000	1791000	1551000	1791000	1911000	
164	1788000	1788000	1788000	1668000	1788000	1908000	
165	1785000	1785000	1785000	1665000	1785000	1905000	
166	1830000	1782000	1902000	1662000	1902000	1902000	
167	1851000	1899000	1899000	1659000	1899000	1899000	
168	1872000	1896000	2016000	1656000	1896000	1896000	
169	1893000	1893000	2013000	1653000	1893000	2013000	
170	1914000	1890000	2130000	1650000	1890000	2010000	
171	1959000	1887000	2127000	1647000	2007000	2127000	
172	1956000	1884000	2124000	1644000	2004000	2124000	
173	1953000	1881000	2121000	1641000	2001000	2121000	
174	1950000	1878000	2118000	1638000	1998000	2118000	
175	1971000	1875000	2115000	1635000	1995000	2235000	
176	1992000	1872000	2112000	1752000	1992000	2232000	
177	2013000	1869000	2109000	1749000	2109000	2229000	
178	2010000	1866000	2106000	1746000	2106000	2226000	
179	2007000	1863000	2103000	1743000	2103000	2223000	
180	2028000	1980000	2100000	1740000	2100000	2220000	
181	2025000	1977000	2097000	1737000	2097000	2217000	
182	2022000	1974000	2094000	1734000	2094000	2214000	
183	2019000	1971000	2091000	1731000	2091000	2211000	
184	2016000	1968000	2088000	1728000	2088000	2208000	
185	2013000	1965000	2085000	1725000	2085000	2205000	
186	2034000	2082000	2082000	1722000	2082000	2202000	
187	2055000	2079000	2079000	1719000	2199000	2199000	
188	2052000	2076000	2076000	1716000	2196000	2196000	
189	2073000	2193000	2073000	1713000	2193000	2193000	
190	2118000	2190000	2070000	1830000	2310000	2190000	
191	2115000	2187000	2067000	1827000	2307000	2187000	
192	2112000	2184000	2064000	1824000	2304000	2184000	
193	2109000	2181000	2061000	1821000	2301000	2181000	
194	2130000	2298000	2058000	1818000	2298000	2178000	
195	2127000	2295000	2055000	1815000	2295000	2175000	
196	2148000	2292000	2052000	1932000	2292000	2172000	
197	2193000	2289000	2049000	2049000	2409000	2169000	
198	2214000	2406000	2046000	2046000	2406000	2166000	
199	2259000	2403000	2163000	2163000	2403000	2163000	
200	2280000	2400000	2280000	2160000	2400000	2160000	
201	2277000	2397000	2277000	2157000	2397000	2157000	
202	2322000	2514000	2274000	2154000	2394000	2274000	
203	2319000	2511000	2271000	2151000	2391000	2271000	
204	2316000	2508000	2268000	2148000	2388000	2268000	
205	2313000	2505000	2265000	2145000	2385000	2265000	
206	2310000	2502000	2262000	2142000	2382000	2262000	
207	2307000	2499000	2259000	2139000	2379000	2259000	
208	2352000	2496000	2376000	2256000	2376000	2256000	
209	2373000	2493000	2373000	2253000	2493000	2253000	
210	2370000	2490000	2370000	2250000	2490000	2250000	
211	2415000	2607000	2487000	2247000	2487000	2247000	
212	2412000	2604000	2484000	2244000	2484000	2244000	
213	2409000	2601000	2481000	2241000	2481000	2241000	
214	2478000	2598000	2478000	2358000	2598000	2358000	
215	2475000	2595000	2475000	2355000	2595000	2355000	
216	2472000	2592000	2472000	2352000	2592000	2352000	
217	2541000	2589000	2589000	2349000	2709000	2469000	
218	2538000	2586000	2586000	2346000	2706000	2466000	
219	2559000	2583000	2583000	2343000	2703000	2583000	
220	2580000	2580000	2580000	2340000	2700000	2700000	
221	2601000	2577000	2577000	2457000	2697000	2697000	
222	2622000	2694000	2574000	2454000	2694000	2694000	
223	2619000	2691000	2571000	2451000	2691000	2691000	
224	2640000	2688000	2568000	2568000	2688000	2688000	
225	2661000	2685000	2565000	2565000	2805000	2685000	
226	2682000	2682000	2682000	2562000	2802000	2682000	
227	2703000	2679000	2679000	2559000	2919000	2679000	
228	2748000	2796000	2796000	2556000	2916000	2676000	
229	2769000	2793000	2793000	2553000	3033000	2673000	
230	2766000	2790000	2790000	2550000	3030000	2670000	
231	2763000	2787000	2787000	2547000	3027000	2667000	
232	2760000	2784000	2784000	2544000	3024000	2664000	
233	2805000	2781000	2781000	2661000	3141000	2661000	
234	2850000	2898000	2778000	2778000	3138000	2658000	
235	2895000	2895000	2895000	2895000	3135000	2655000	
236	2892000	2892000	2892000	2892000	3132000	2652000	
237	2889000	2889000	2889000	2889000	3129000	2649000	
238	2934000	2886000	2886000	3006000	3126000	2766000	
239	2931000	2883000	2883000	3003000	3123000	2763000	
